Date,Time,L,R,Bottle,Amount,Breast,Formula,Food,Quantity,Response,Notes
2016-08-19,1:17:23 AM,848,,,,,,,,,
2016-08-18,7:37:54 PM,1242.281,1312.22,,,,,,,,
2016-08-18,6:46:37 PM,,505,,,,,,,,
2016-08-18,5:55:48 PM,1001,,,,,,,,,
2016-08-18,5:07:26 PM,,538,,,,,,,,
2016-08-18,3:56:48 PM,,1208,,,,,,,,
2016-08-18,2:35:26 PM,1994,,,,,,,,,
2016-08-18,12:40:44 PM,,1777,,,,,,,,
2016-08-18,12:18:40 PM,,420,,,,,,,,
2016-08-18,10:59:23 AM,1853.771,184,,,,,,,,
2016-08-18,8:58:25 AM,,1080,,,,,,,,
2016-08-18,7:10:02 AM,1842,,,,,,,,,
2016-08-18,4:11:55 AM,,1248,,,,,,,,
2016-08-18,12:51:29 AM,786,,,,,,,,,
2016-08-17,6:57:20 PM,1689,319,,,,,,,,
2016-08-17,6:06:25 PM,,646,,,,,,,,
2016-08-17,4:23:27 PM,719,,,,,,,,,
2016-08-17,4:01:59 PM,399,,,,,,,,,
2016-08-17,2:56:42 PM,,1804,,,,,,,,
2016-08-17,1:22:48 PM,865.3079,,,,,,,,,
2016-08-17,12:49:12 PM,1218,,,,,,,,,
2016-08-17,11:14:11 AM,,1620,,,,,,,,
2016-08-17,10:29:17 AM,443,,,,,,,,,
2016-08-17,8:15:11 AM,,531,,,,,,,,
2016-08-17,7:30:32 AM,844,,,,,,,,,
2016-08-17,4:30:14 AM,,708,,,,,,,,
2016-08-17,1:28:50 AM,600,,,,,,,,,
2016-08-16,7:34:19 PM,,959,,,,,,,,
2016-08-16,6:53:11 PM,322,,,,,,,,,
2016-08-16,6:04:13 PM,307,626.8002,,,,,,,,
2016-08-16,4:35:55 PM,1074,,,,,,,,,
2016-08-16,2:40:29 PM,,1200,,,,,,,,
2016-08-16,1:54:04 PM,475,,,,,,,,,
2016-08-16,1:26:22 PM,467,,,,,,,,,
2016-08-16,10:29:22 AM,236,962,,,,,,,,
2016-08-16,9:01:26 AM,217,,,,,,,,,
2016-08-16,8:30:23 AM,480,,,,,,,,,
2016-08-16,7:24:42 AM,,1278,,,,,,,,
2016-08-16,5:01:46 AM,825,,,,,,,,,
2016-08-16,1:12:54 AM,,1095,,,,,,,,
2016-08-15,7:01:56 PM,600,1020,,,,,,,,
2016-08-15,6:44:25 PM,300,,,,,,,,,
2016-08-15,5:30:51 PM,1200,900,,,,,,,,
2016-08-15,4:26:30 PM,518,826,,,,,,,,
2016-08-15,3:20:49 PM,1042,,,,,,,,,
2016-08-15,1:59:51 PM,,1354,,,,,,,,
2016-08-15,1:08:13 PM,961,,,,,,,,,
2016-08-15,11:08:32 AM,,829,,,,,,,,
2016-08-15,9:58:04 AM,1009.428,,,,,,,,,
2016-08-15,9:14:18 AM,889,,,,,,,,,
2016-08-15,8:07:59 AM,,807,,,,,,,,
2016-08-15,6:40:47 AM,1091,,,,,,,,,
2016-08-15,3:48:23 AM,,1075,,,,,,,,
2016-08-14,9:09:28 PM,414,,,,,,,,,
2016-08-14,7:01:54 PM,,660,,,,,,,,
2016-08-14,6:20:49 PM,565,,,,,,,,,
2016-08-14,4:54:47 PM,,1485,,,,,,,,
